series_id,date,value
0,2023-01-01,52.65570432661451
0,2023-01-02,49.65289461037153
0,2023-01-03,53.754639362736
0,2023-01-04,58.30317355006333
0,2023-01-05,49.68888111375779
0,2023-01-06,49.860332189728446
0,2023-01-07,59.09814452653048
0,2023-01-08,55.20996136689719
0,2023-01-09,49.19571627696805
0,2023-01-10,54.4257316597446
0,2023-01-11,49.56517863437013
0,2023-01-12,49.72239623083491
0,2023-01-13,53.42902648787182
0,2023-01-14,42.820326436770515
0,2023-01-15,43.928943788596705
0,2023-01-16,49.908143929136195
0,2023-01-17,47.82066872713397
0,2023-01-18,54.62044890953926
0,2023-01-19,48.67257623931759
0,2023-01-20,46.31371048926468
0,2023-01-21,60.86500506637149
0,2023-01-22,52.56836392647405
0,2023-01-23,54.19427508587569
0,2023-01-24,46.89113896099245
0,2023-01-25,51.45002240349726
0,2023-01-26,54.88236887405364
0,2023-01-27,48.72732553029259
0,2023-01-28,56.51399280075687
0,2023-01-29,51.78414495156386
0,2023-01-30,53.479286752633385
0,2023-01-31,52.07817637737406
0,2023-02-01,64.49554699620019
0,2023-02-02,55.31256559169333
0,2023-02-03,50.2357984868967
0,2023-02-04,59.77974212342712
0,2023-02-05,49.7037844846829
0,2023-02-06,56.99158484463141
0,2023-02-07,46.28641808175238
0,2023-02-08,49.57953723991652
0,2023-02-09,57.338629188247396
0,2023-02-10,60.17862851032687
0,2023-02-11,57.47318758837264
0,2023-02-12,56.16619477638825
0,2023-02-13,55.365009194290224
0,2023-02-14,49.601973318679335
0,2023-02-15,53.5173451808442
0,2023-02-16,54.93324652816019
0,2023-02-17,62.63978136073443
0,2023-02-18,59.18781232480786
0,2023-02-19,48.76785730797196
0,2023-02-20,59.31456811581336
0,2023-02-21,55.877547108626175
0,2023-02-22,54.52484656603798
0,2023-02-23,61.07199232595111
0,2023-02-24,63.27038820255336
0,2023-02-25,62.87116612860514
0,2023-02-26,54.115618647544885
0,2023-02-27,56.86012217708871
0,2023-02-28,60.1544880722931
0,2023-03-01,63.465365218369826
0,2023-03-02,56.27869235806952
0,2023-03-03,57.83062216812334
0,2023-03-04,53.309000229403495
0,2023-03-05,52.93878034419213
0,2023-03-06,63.058937808493425
0,2023-03-07,65.85133827088048
0,2023-03-08,58.781229273951666
0,2023-03-09,64.22737736662647
0,2023-03-10,61.08359696103014
0,2023-03-11,56.11277351520363
0,2023-03-12,61.20553860696102
0,2023-03-13,67.14614670660127
0,2023-03-14,59.331434967401776
0,2023-03-15,67.38556654498909
0,2023-03-16,46.51257231827429
0,2023-03-17,63.76691189842467
0,2023-03-18,60.135874559705925
0,2023-03-19,58.24596779939487
0,2023-03-20,60.237287297734085
0,2023-03-21,49.87522012971163
0,2023-03-22,58.74637872833336
0,2023-03-23,61.65905728149859
0,2023-03-24,67.28879517458111
0,2023-03-25,57.33087100281109
0,2023-03-26,55.89971105447358
0,2023-03-27,57.45040474354911
0,2023-03-28,64.55026031959193
0,2023-03-29,61.62810975985407
0,2023-03-30,57.34369909356164
0,2023-03-31,62.56402218536569
0,2023-04-01,60.4852951441021
0,2023-04-02,64.84239153921183
0,2023-04-03,56.48519733748682
0,2023-04-04,58.35048642286149
0,2023-04-05,58.01863084299313
0,2023-04-06,52.649014276881104
0,2023-04-07,61.431654496329855
0,2023-04-08,61.23784485357359
0,2023-04-09,59.93670792314685
0,2023-04-10,58.71384023544767
0,2023-04-11,52.78262778938623
0,2023-04-12,57.72603890597303
0,2023-04-13,58.082564333821054
0,2023-04-14,55.748719160215586
0,2023-04-15,58.91475340796057
0,2023-04-16,61.69963211431333
0,2023-04-17,69.06563499169414
0,2023-04-18,60.46006723403216
0,2023-04-19,60.82456191991828
0,2023-04-20,59.11138622129088
0,2023-04-21,49.833755357409004
0,2023-04-22,59.23624408570823
0,2023-04-23,59.608390360084925
0,2023-04-24,71.55911778435737
